Statistic,Quarter,Sectors,value
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2002Q2,Modified Final Domestic Demand,32973
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2002Q3,Personal Expenditure on Consumer Goods and Services,18376
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2002Q3,Net Expenditure by Central and Local Govt. on Current Goods and Services,6567
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2002Q3,Gross Domestic Fixed Capital Formation,10295
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2002Q3,Exports of Goods and Services (excluding Factor Income Flows),33872
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2002Q3,Imports of Goods and Services (excluding Factor Income Flows),-30606
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2002Q3,Gross Domestic Product at Market Prices,42549
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2002Q3,Gross National Product at Market Prices,36252
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2002Q3,Modified Final Domestic Demand,33981
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2002Q4,Personal Expenditure on Consumer Goods and Services,18349
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2002Q4,Net Expenditure by Central and Local Govt. on Current Goods and Services,6596
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2002Q4,Gross Domestic Fixed Capital Formation,9576
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2002Q4,Exports of Goods and Services (excluding Factor Income Flows),32955
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2002Q4,Imports of Goods and Services (excluding Factor Income Flows),-28843
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2002Q4,Gross Domestic Product at Market Prices,42904
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2002Q4,Gross National Product at Market Prices,35938
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2002Q4,Modified Final Domestic Demand,33682
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2003Q1,Personal Expenditure on Consumer Goods and Services,18557
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2003Q1,Net Expenditure by Central and Local Govt. on Current Goods and Services,6780
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2003Q1,Gross Domestic Fixed Capital Formation,10001
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2003Q1,Exports of Goods and Services (excluding Factor Income Flows),32662
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2003Q1,Imports of Goods and Services (excluding Factor Income Flows),-28812
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2003Q1,Gross Domestic Product at Market Prices,42753
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2003Q1,Gross National Product at Market Prices,36710
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2003Q1,Modified Final Domestic Demand,33995
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2003Q2,Personal Expenditure on Consumer Goods and Services,18689
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2003Q2,Net Expenditure by Central and Local Govt. on Current Goods and Services,6696
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2003Q2,Gross Domestic Fixed Capital Formation,9861
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2003Q2,Exports of Goods and Services (excluding Factor Income Flows),32686
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2003Q2,Imports of Goods and Services (excluding Factor Income Flows),-29115
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2003Q2,Gross Domestic Product at Market Prices,42980
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2003Q2,Gross National Product at Market Prices,37261
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2003Q2,Modified Final Domestic Demand,34281
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2003Q3,Personal Expenditure on Consumer Goods and Services,18767
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2003Q3,Net Expenditure by Central and Local Govt. on Current Goods and Services,6740
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2003Q3,Gross Domestic Fixed Capital Formation,10588
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2003Q3,Exports of Goods and Services (excluding Factor Income Flows),33945
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2003Q3,Imports of Goods and Services (excluding Factor Income Flows),-30359
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2003Q3,Gross Domestic Product at Market Prices,43356
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2003Q3,Gross National Product at Market Prices,37675
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2003Q3,Modified Final Domestic Demand,34816
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2003Q4,Personal Expenditure on Consumer Goods and Services,18997
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2003Q4,Net Expenditure by Central and Local Govt. on Current Goods and Services,6764
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2003Q4,Gross Domestic Fixed Capital Formation,11664
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2003Q4,Exports of Goods and Services (excluding Factor Income Flows),36347
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2003Q4,Imports of Goods and Services (excluding Factor Income Flows),-32157
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2003Q4,Gross Domestic Product at Market Prices,45534
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2003Q4,Gross National Product at Market Prices,38943
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2003Q4,Modified Final Domestic Demand,36300
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2004Q1,Personal Expenditure on Consumer Goods and Services,19329
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2004Q1,Net Expenditure by Central and Local Govt. on Current Goods and Services,6343
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2004Q1,Gross Domestic Fixed Capital Formation,11230
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2004Q1,Exports of Goods and Services (excluding Factor Income Flows),35415
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2004Q1,Imports of Goods and Services (excluding Factor Income Flows),-30148
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2004Q1,Gross Domestic Product at Market Prices,45538
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2004Q1,Gross National Product at Market Prices,39395
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2004Q1,Modified Final Domestic Demand,35320
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2004Q2,Personal Expenditure on Consumer Goods and Services,19443
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2004Q2,Net Expenditure by Central and Local Govt. on Current Goods and Services,6880
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2004Q2,Gross Domestic Fixed Capital Formation,11901
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2004Q2,Exports of Goods and Services (excluding Factor Income Flows),36054
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2004Q2,Imports of Goods and Services (excluding Factor Income Flows),-30880
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2004Q2,Gross Domestic Product at Market Prices,46566
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2004Q2,Gross National Product at Market Prices,40327
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2004Q2,Modified Final Domestic Demand,36567
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2004Q3,Personal Expenditure on Consumer Goods and Services,19618
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2004Q3,Net Expenditure by Central and Local Govt. on Current Goods and Services,6963
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2004Q3,Gross Domestic Fixed Capital Formation,11780
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2004Q3,Exports of Goods and Services (excluding Factor Income Flows),36247
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2004Q3,Imports of Goods and Services (excluding Factor Income Flows),-31072
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2004Q3,Gross Domestic Product at Market Prices,46341
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2004Q3,Gross National Product at Market Prices,40097
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2004Q3,Modified Final Domestic Demand,37031
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2004Q4,Personal Expenditure on Consumer Goods and Services,19812
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2004Q4,Net Expenditure by Central and Local Govt. on Current Goods and Services,7057
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2004Q4,Gross Domestic Fixed Capital Formation,11510
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2004Q4,Exports of Goods and Services (excluding Factor Income Flows),36658
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2004Q4,Imports of Goods and Services (excluding Factor Income Flows),-31314
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2004Q4,Gross Domestic Product at Market Prices,47368
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2004Q4,Gross National Product at Market Prices,40721
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2004Q4,Modified Final Domestic Demand,37443
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2005Q1,Personal Expenditure on Consumer Goods and Services,20144
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2005Q1,Net Expenditure by Central and Local Govt. on Current Goods and Services,6985
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2005Q1,Gross Domestic Fixed Capital Formation,12586
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2005Q1,Exports of Goods and Services (excluding Factor Income Flows),36862
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2005Q1,Imports of Goods and Services (excluding Factor Income Flows),-32445
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2005Q1,Gross Domestic Product at Market Prices,48347
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2005Q1,Gross National Product at Market Prices,41691
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2005Q1,Modified Final Domestic Demand,38353
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2005Q2,Personal Expenditure on Consumer Goods and Services,20704
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2005Q2,Net Expenditure by Central and Local Govt. on Current Goods and Services,6980
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2005Q2,Gross Domestic Fixed Capital Formation,13543
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2005Q2,Exports of Goods and Services (excluding Factor Income Flows),38252
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2005Q2,Imports of Goods and Services (excluding Factor Income Flows),-33790
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2005Q2,Gross Domestic Product at Market Prices,49268
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2005Q2,Gross National Product at Market Prices,41745
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2005Q2,Modified Final Domestic Demand,39666
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2005Q3,Personal Expenditure on Consumer Goods and Services,21381
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2005Q3,Net Expenditure by Central and Local Govt. on Current Goods and Services,7100
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2005Q3,Gross Domestic Fixed Capital Formation,14378
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2005Q3,Exports of Goods and Services (excluding Factor Income Flows),38075
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2005Q3,Imports of Goods and Services (excluding Factor Income Flows),-36081
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2005Q3,Gross Domestic Product at Market Prices,48817
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2005Q3,Gross National Product at Market Prices,42521
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2005Q3,Modified Final Domestic Demand,40222
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2005Q4,Personal Expenditure on Consumer Goods and Services,21521
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2005Q4,Net Expenditure by Central and Local Govt. on Current Goods and Services,7160
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2005Q4,Gross Domestic Fixed Capital Formation,13620
